Year,CAR,NEA,NEF,NPL,NWP,Total
2016,10.29283104,6.330289168,4.654710977,7.22563882,6.443502871,5.527886466
2016,13.72377472,6.245885312,4.547230972,6.907220838,6.252866692,5.37821445
2016,17.15471841,6.66790459,4.886206372,8.009436929,6.977284174,5.936989977
2017,13.67755172,6.668934667,5.61283759,8.569945565,8.539018991,6.683957021
2017,13.67755172,5.740348827,4.876459481,7.113297594,6.959112393,5.681116463
2017,15.38724568,6.246850195,5.13010083,7.695956782,7.335280631,6.036803754
2017,11.96785775,5.993599511,4.655546048,7.283239857,6.658177803,5.55267383
2017,13.67755172,5.909182617,4.663728027,7.234684925,6.470093685,5.523033222
2017,11.96785775,5.149430566,4.410086678,6.676303202,6.131542271,5.162405829
2017,13.67755172,5.571515038,4.434632615,6.894800398,6.545327332,5.305668766
2017,11.96785775,5.487098144,4.483724489,7.064742661,6.244392742,5.32048907
2017,10.25816379,5.23384746,4.500088447,7.064742661,6.131542271,5.295788564
2017,13.67755172,5.571515038,4.745547817,7.550291985,6.695794627,5.646535754
2017,15.38724568,5.740348827,4.868277502,7.623124384,6.658177803,5.745337779
2017,10.25816379,6.078016406,5.359196242,8.230061038,7.22243016,6.244288008
2018,18.72595417,6.750206092,6.0284446,8.89211248,8.200875647,6.973004248
2018,13.61887576,5.48454245,5.110897625,7.20982093,6.723240395,5.794605485
2018,20.42831364,6.412695788,5.183335544,7.642410185,7.646762427,6.120856382
2018,18.72595417,5.990807907,4.837243264,7.402082821,6.797122158,5.72156424
2018,25.53539205,5.653297602,4.740659372,7.257886403,6.612417751,5.609567663
2018,18.72595417,5.315787298,4.418713065,6.921428092,6.612417751,5.307663848
2018,22.13067311,5.062654569,4.531394272,6.80126441,6.944885683,5.390443926
2018,25.53539205,5.315787298,4.499199641,7.089657248,6.390772463,5.380705093
2018,15.32123523,5.231409721,4.475053668,7.065624511,6.57547687,5.351488595
2018,17.0235947,5.653297602,4.861389237,7.570311976,7.203471852,5.799474902
2018,25.53539205,5.822052755,4.821145949,7.522246503,6.87100392,5.755650154
2018,17.0235947,6.243940635,5.086751652,7.786606604,7.462058021,6.047815137
