T10,T90,Total_044,Total_4564,Total_6584,Total_85
-0.677616633,-3.584491448,4.900299598,-0.156471159,-1.525062967,0.399112584
-3.814286759,-2.558039194,4.884970194,0.065577628,0.101134177,5.202834717
-1.644060533,9.630519929,4.777664363,-0.072952015,-0.396517763,0.810900705
-2.439400386,-2.958247958,5.155789671,-0.615981979,-5.353371813,-14.25442609
-0.274794411,-7.948905535,5.063813245,-0.194401048,-0.843122204,-1.600596893
-2.742833665,6.116812495,5.385730736,-1.096884244,-8.626404758,-31.60354706
-1.362302285,-2.504139716,5.530319519,0.801061537,-1.03551082,9.527117617
-4.56051889,5.216269997,4.991520007,0.266113641,2.083145731,7.2422742
-3.837361648,-3.708603683,5.301583877,-0.671942841,-7.780100716,-25.75821787
-2.238093948,5.359603676,5.032184121,0.795691623,2.785770128,20.83279106
-1.2475149,-5.395550832,5.04235015,0.224326851,0.065739693,2.641428482
-0.105118328,-2.93922193,4.686539151,0.08360301,-0.632956113,1.101019408
-1.892077435,1.795580399,4.833946565,0.269215091,-0.15290328,4.895899109
-2.529718932,1.950264433,4.900025751,0.969835058,4.85847371,27.66514713
0.060434099,4.553769708,4.742452308,-0.205873028,-1.881065649,-7.432848033
6.152262451,-1.483587331,5.154176464,-0.07133848,-2.377321381,-3.717360932
0.397480153,-4.41321079,5.037267136,0.085989018,0.612556821,0.224827508
-3.230440881,-5.652042038,5.753972147,2.084805993,10.04727745,62.11944842
-1.126720162,-2.275645377,6.276303198,2.661521185,12.52353348,93.87114269
-2.696745894,1.610384428,5.067571156,-2.068935799,-9.881576215,-58.20551074
1.689023593,-0.368521154,5.360903618,-0.416329265,-4.797108011,-9.966119181
12.87809893,-3.459332675,5.163662824,0.605942761,4.214982723,17.24828052
-1.020620472,8.941504718,5.067571156,-0.576013624,-3.772532171,-16.66288695
-2.477324502,11.8775937,4.723664131,-0.182477568,-0.355358342,-4.773848588
-0.103770318,0.19743605,4.946192206,0.450152112,3.258230398,15.21010736
-2.637767351,4.032193199,4.834928168,-0.485078106,-3.374942184,-12.79032758
-0.478612476,6.977209598,4.769181237,0.14591502,1.940703677,6.811995694
-3.708692046,0.23064754,5.158605368,-0.701144746,-4.572186491,-20.08122824
4.741504209,-7.881667093,5.133318087,0.508398479,2.314538247,16.98507902
7.154219106,-3.042564319,5.618833886,0.39186517,-0.325368311,14.63711587
1.71801655,11.29439273,5.617370116,0.190849259,-1.575961133,12.49503739
6.714060789,-10.86553074,4.877447709,-0.602251352,-0.758890352,-16.17725758
